Domain,Timestamp,Resolver,Status,Query Time
test.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,78
test0.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,55.2
test1.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,50.7
test2.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,51.8
test3.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,54.3
test4.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,53.6
test5.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,55.7
test6.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,53.7
test7.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,53.6
test8.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,50.8
test9.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,51.3
test10.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,50.5
test11.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,53.1
test12.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,53.3
test13.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,51.2
test14.FALCON512-SYDNEY0608.test,2026-08-07 00:56:07 UTC,16.51.167.219@53,NOERROR,54.7
test15.FALCON512-SYDNEY0608.test,2026-08-07 00:56:08 UTC,16.51.167.219@53,NOERROR,50.9
test16.FALCON512-SYDNEY0608.test,2026-08-07 00:56:08 UTC,16.51.167.219@53,NOERROR,51.8
